book_id,authors,original_publication_year,title,language_code,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
27,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,7308,21516,136333,459028,1161491
28,William Golding,1954,Lord of the Flies,eng,3.64,1605019,92779,160295,425648,564916,427846
29,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,eng,3.73,1628519,57980,153179,452673,519822,489235
30,Gillian Flynn,2012,Gone Girl,eng,4.03,512475,38874,80807,280331,616031,610476
31,Kathryn Stockett,2009,The Help,eng,4.45,1531753,10235,25117,134887,490754,942552
32,John Steinbeck,1937,Of Mice and Men,eng,3.84,1467496,46630,110856,355169,532291,473795
33,Arthur Golden,1997,Memoirs of a Geisha,eng,4.08,1300209,23500,59033,258700,517157,559782
34,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,1338493,165455,152293,252185,294976,571909
35,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,eng,3.82,1299566,74846,123614,289143,412180,504212
36,Lois Lowry,1993,"The Giver (The Giver, #1)",eng,4.12,1296825,26497,59652,225326,448691,585279
37,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,1531800,19309,55542,262038,513366,734629
38,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,3.95,746287,44339,85429,257805,427210,493884
39,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,4.45,1319204,19988,28983,114092,404583,874574
40,Elizabeth Gilbert,2006,"Eat, Pray, Love",eng,3.51,1181647,100373,149549,310212,332191,314272
41,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,1366265,18303,48294,219638,435514,689365
42,Louisa May Alcott,1868,"Little Women (Little Women, #1)",en-US,4.04,1257121,31645,70011,250794,426280,535563
43,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng,4.1,1198557,35132,64274,212294,400214,574221
44,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",eng,4.06,1053403,41395,63432,176469,298259,497194
45,Yann Martel,2001,Life of Pi,unknown,3.88,1003228,39768,74331,218702,384164,360466
46,Sara Gruen,2006,Water for Elephants,eng,4.07,1068146,16705,49832,200154,417328,424820
47,Markus Zusak,2005,The Book Thief,eng,4.36,1159741,17892,35360,135272,377218,722056
48,Ray Bradbury,1953,Fahrenheit 451,spa,3.97,570498,28366,64289,238242,426292,419051
49,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng,3.52,1149630,102837,160660,294207,290612,350684
50,Shel Silverstein,1974,Where the Sidewalk Ends,eng,4.29,1016888,16590,30792,139024,293222,544153
51,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",eng,4.12,1154031,34122,65349,203466,356048,582814
52,Stephenie Meyer,2007,"Eclipse (Twilight, #3)",en-US,3.69,1134511,83094,124293,260763,309358,399134
53,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",en-US,3.86,1104021,50563,88536,240157,337943,408032
54,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,4.2,936782,21764,41962,145173,299579,498001
55,Aldous Huxley,1932,Brave New World,eng,3.97,1022601,26367,60328,219895,389379,383166
56,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)",en-US,3.7,1070245,100994,114893,213402,267706,410714
57,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,4.01,916189,17500,45455,185631,347540,341267
58,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng,3.8,953758,28467,76630,255722,344356,296316
59,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng,4.15,1064521,18450,41124,191415,346090,487763
60,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553,21049,58117,218218,355925,262481
61,Paula Hawkins,2015,The Girl on the Train,eng,3.88,1008778,27773,73897,273817,488447,362551
62,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",eng,3.94,953970,38382,64591,198764,313147,380030
63,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,eng,3.82,899195,46469,84084,215320,309180,346082
64,Jodi Picoult,2004,My Sister's Keeper,eng,4.06,863879,17547,42763,162573,314003,350994
65,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,eng,4.06,846488,24964,45518,152442,300948,367890
66,Margaret Mitchell,1936,Gone with the Wind,eng,4.28,873981,19996,33136,116160,234290,493721
67,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,4.34,818742,6509,18015,99030,295817,446694
68,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,4.21,888806,14286,38658,143440,297501,461020
69,Veronica Roth,2012,"Insurgent (Divergent, #2)",eng,4.07,836362,10641,44620,182131,339977,369969
70,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)",eng,4.3,813439,15330,27612,103439,264207,462829
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein,eng,3.75,808589,29366,74142,231022,300495,248538
72,Stephen King,1977,The Shining (The Shining #1),eng,4.17,791850,18487,28981,123862,277393,382158
73,Stephenie Meyer,2008,"The Host (The Host, #1)",en-US,3.84,749780,44215,62501,154906,227180,288758
74,John Green,2005,Looking for Alaska,eng,4.09,783470,16940,44232,147324,262932,359857
75,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)",eng,3.75,736498,28973,59309,198555,254836,212825
76,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,eng,4.06,738894,18430,34699,141987,272512,311754
77,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)",eng,3.93,747445,15495,43786,176946,269153,259257
78,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,665930,24231,58323,192366,226675,178250
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince,eng,4.28,738757,15039,32866,114714,228440,468227
81,Jeannette Walls,2005,The Glass Castle,eng,4.24,621099,7901,18922,85191,227750,298102
82,Jon Krakauer,1996,Into the Wild,eng,3.94,647684,19229,35567,135199,248287,227095
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,eng,3.81,637412,28904,55555,153305,216378,223571
84,Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)",spa,3.96,447833,15736,34222,138327,231583,230615
85,Shel Silverstein,1964,The Giving Tree,eng,4.38,702332,15345,20408,76071,167542,428921
86,John Grisham,1989,A Time to Kill,eng,4.03,597775,12106,25938,122675,218617,229488
87,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1),eng,4.3,691231,7761,18539,90575,230227,360777
88,John Green,2008,Paper Towns,en-US,3.88,461311,14105,47183,154479,223895,215609
89,William Goldman,1973,The Princess Bride,en-US,4.25,628637,12883,21641,89236,196047,338235
90,S.E. Hinton,1967,The Outsiders,en-US,4.06,659248,10178,34346,134244,227250,274419
91,James Dashner,2009,"The Maze Runner (Maze Runner, #1)",eng,4.02,719925,15291,43370,150488,266698,302109
92,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,3.93,524191,14586,26538,115789,216316,176072
93,Frances Hodgson Burnett,1911,The Secret Garden,eng,4.12,639357,8005,25207,129646,243821,285570
94,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude,eng,4.04,490565,27340,37646,87675,155809,267197
95,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,eng,4.06,590014,9825,30735,129420,246892,257679
96,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)",eng,3.88,387290,39079,55691,109963,140304,265079
97,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,eng,3.98,618973,11756,36719,151396,246043,243825
98,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)",eng,4.22,563994,4623,15781,91021,258236,279592
99,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)",eng,3.87,552059,37245,58935,114203,150906,262051
100,Barbara Kingsolver,1998,The Poisonwood Bible,eng,4.02,546502,21699,33702,92590,175725,239071
101,David Sedaris,2000,Me Talk Pretty One Day,eng,3.97,495736,19718,29034,93427,178021,194076
102,Maurice Sendak,1963,Where the Wild Things Are,eng,4.22,620618,15392,27532,93700,167043,332394
103,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo,eng,4.21,555822,10381,22482,89980,183142,295235
104,Cormac McCarthy,2006,The Road,eng,3.95,504793,20086,36561,100989,190823,207328
105,Veronica Roth,2013,"Allegiant (Divergent, #3)",eng,3.63,463257,31626,78366,176061,192785,184388
106,Tina Fey,2011,Bossypants,eng,3.94,506250,14842,31761,129390,230080,203187
107,Nicholas Sparks,1999,A Walk to Remember,en-US,4.15,546948,10640,24094,94327,169650,260870
108,Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic, #1)",eng,3.61,543658,30705,56949,156636,166927,146787
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,eng,4.14,513407,15225,25914,87461,167385,264147
110,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,4.4,523303,1788,7104,56167,221706,320000
111,Kim Edwards,2005,The Memory Keeper's Daughter,eng,3.64,501430,19453,47004,145437,183150,115538
112,Jojo Moyes,2012,"Me Before You (Me Before You, #1)",eng,4.27,587647,10346,21880,91517,249474,367916
113,Joseph Heller,1961,Catch-22,en-US,3.98,563265,20639,37912,106269,186745,230950
114,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,eng,4.06,556518,11507,30534,107446,194448,240462
115,Jeffrey Eugenides,2002,Middlesex,en-US,3.98,488243,19329,30503,89740,171099,197327
116,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,eng,3.89,555359,12130,34349,143659,217896,186192
117,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,4.04,615907,17313,34988,119115,209745,268933
118,Amy Tan,1989,The Joy Luck Club,eng,3.9,515090,14802,30197,116748,195930,167566
119,Margaret Atwood,1985,The Handmaid's Tale,eng,4.06,607889,13998,32561,116975,252942,267088
120,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,3.75,525706,14996,42396,152024,177404,149784
121,"Vladimir Nabokov, Craig Raine",1955,Lolita,eng,3.88,469836,21091,37205,108664,165477,185553
122,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,3.52,506900,40802,65835,132061,153583,133217
123,John Grisham,1991,"The Firm (Penguin Readers, Level 5)",eng,3.99,488269,5075,20119,111543,190966,160652
124,Emma Donoghue,2010,Room,eng,4.03,511360,11020,26079,99831,217995,201402
125,"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet,eng,4.0,515820,10413,32697,121040,192937,219807
126,Frank Herbert,1965,Dune (Dune Chronicles #1),eng,4.19,485032,13354,22778,74206,154771,260867
127,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504,15111,25871,106453,189120,162511
128,Walter Isaacson,2011,Steve Jobs,eng,4.09,560715,19680,21986,88456,203975,245159
129,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,eng,4.18,491642,5672,15978,78714,191622,222472
130,Ernest Hemingway,1952,The Old Man and the Sea,eng,3.73,520630,28645,52583,136217,186747,170136
131,John Steinbeck,1939,The Grapes of Wrath,eng,3.92,322321,23552,40261,103475,173589,212475
132,Mitch Albom,2003,The Five People You Meet in Heaven,unknown,3.9,449501,12360,33669,107800,155830,165040
133,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)",eng,4.23,502247,8864,19531,80256,158725,265976
134,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)",en-US,4.34,593173,6646,17351,79202,179290,348071
135,George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire, #3)",eng,4.54,469022,1456,4820,36418,149268,335682
136,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79,465676,15795,35314,120396,158451,140552
137,Diana Gabaldon,1991,"Outlander (Outlander, #1)",eng,4.2,515547,20998,27673,73126,147085,309960
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,eng,3.37,509883,34813,80444,182701,165079,96209
139,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,3.89,613674,14920,45434,159227,234792,217849
140,"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US,4.2,443951,3823,14773,78387,203297,226511
141,Andy Weir,2012,The Martian,eng,4.39,423344,4114,10856,49200,173861,291671
142,Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng,4.29,462517,9248,16886,57825,148052,263882
143,Anthony Doerr,2014,All the Light We Cannot See,eng,4.31,470001,6209,14527,61020,185239,280832
144,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775,10308,12874,47828,144203,313339
145,Dan Brown,2001,Deception Point,eng,3.67,455610,14380,45006,143182,160819,116346
146,Donna Tartt,2013,The Goldfinch,eng,3.87,396756,19164,35300,93459,153459,162465
147,Jay Asher,2007,Thirteen Reasons Why,eng,4.02,463783,15246,35668,105414,179197,235756
148,Tracy Chevalier,1999,Girl with a Pearl Earring,eng,3.85,467577,11525,28287,123463,189656,139246
149,Gayle Forman,2009,"If I Stay (If I Stay, #1)",en-US,3.96,503527,12666,34896,122977,190793,205755
150,Anita Diamant,1997,The Red Tent,en-US,4.16,424981,9470,19616,67878,146178,206075
151,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,514932,2967,13884,91127,188988,253546
152,Nicholas Sparks,2006,Dear John,en-US,4.01,441062,9683,25220,94711,145202,179965
153,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)",eng,4.21,541117,6135,20075,92626,192934,274238
154,William Shakespeare,1606,Macbeth,eng,3.88,496018,10551,35408,127354,183871,167642
155,J.R.R. Tolkien,1954,"The Two Towers (The Lord of the Rings, #2)",en-US,4.42,480446,3013,10264,55433,156232,307267
156,Emily Giffin,2004,"Something Borrowed (Darcy & Rachel, #1)",eng,3.83,403601,16019,29297,104322,148507,137044
157,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,en-US,4.29,457475,6605,14530,66873,121751,251282
158,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,4.1,453959,6236,17193,94240,178216,198862
159,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,4.39,508214,2435,8093,62108,172289,292783
160,Charles Dickens,1860,Great Expectations,eng,3.75,459247,22811,44293,120385,170702,148996
161,J.R.R. Tolkien,1955,"The Return of the King (The Lord of the Rings, #3)",en-US,4.51,463959,2691,8008,42693,132149,324996
162,"Albert Camus, Matthew    Ward",1942,The Stranger,eng,3.96,420600,10563,28920,100140,174957,169043
163,Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus, #1)",eng,4.35,271576,5020,11267,58590,148498,266120
164,Rainbow Rowell,2013,Eleanor & Park,eng,4.11,514312,12904,26371,94470,196224,249784
165,George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire, #4)",en-US,4.1,428186,3170,18574,94401,175973,189012
166,Ally Condie,2010,"Matched (Matched, #1)",eng,3.68,511815,24343,53804,138030,165412,149091
167,Neil Gaiman,2001,"American Gods (American Gods, #1)",eng,4.11,378019,9888,24944,83253,178346,221912
168,"Stephen King, Bernie Wrightson",1978,The Stand,en-US,4.34,438832,5647,13612,56722,134098,259874
169,Nicholas Sparks,2008,The Last Song,en-GB,4.14,424637,7253,17803,77712,140241,195420
170,Dan Brown,1998,Digital Fortress,en-GB,3.6,423019,16592,47507,136196,144029,103179
171,"Jane Austen, Fiona Stafford",1815,Emma,eng,3.99,459826,11386,25777,102144,178238,180404
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Anna Karenina,eng,4.02,297472,11738,26945,88365,158179,187569
173,Anthony Burgess,1962,A Clockwork Orange,eng,3.98,431195,14741,24244,84863,163488,167055
174,William Paul Young,2007,The Shack,eng,3.74,419539,35734,42977,84751,111923,162907
175,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng,4.5,397500,2098,6501,45208,133168,312535
176,Stephen King,1986,It,en-US,4.18,292592,8464,19610,75841,148672,226794
177,"Fyodor Dostoyevsky, David McDuff",1866,Crime and Punishment,eng,4.18,380903,9477,20078,64050,137104,213966
178,Sylvia Plath,1963,The Bell Jar,en-US,3.98,401605,8266,23983,92408,162216,155284
179,Frank McCourt,1996,"Angela's Ashes (Frank McCourt, #1)",eng,4.07,392103,7657,18327,73550,155775,164437
180,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,eng,3.99,372099,10229,25529,83698,138837,160360
181,Truman Capote,1965,In Cold Blood,eng,4.05,381652,10639,17836,70857,144616,157891
182,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, #1)",eng,3.76,436093,19917,43525,113352,132492,149232
183,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, #1)",eng,4.33,490890,8364,15544,61409,140928,289514
184,"Roald Dahl, Quentin Blake",1988,Matilda,eng,4.29,440743,4277,10823,64536,152003,231852
185,Erin Morgenstern,2011,The Night Circus,eng,4.03,429543,11349,28650,84254,159596,190977
186,Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng,4.04,381080,5311,16716,78620,153807,144769
187,Scott Westerfeld,2005,"Uglies (Uglies, #1)",eng,3.86,449073,15531,34808,106086,151540,156624
188,George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire, #5)",eng,4.31,365954,2399,10150,53744,147136,211189
189,J.R.R. Tolkien,1955,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng,4.47,389054,4807,9577,37552,106818,277592
190,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail,eng,3.96,379872,8344,22137,85489,165482,139451
191,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,en-US,4.35,398018,6349,11732,44847,116877,229518
192,Patrick Rothfuss,2007,"The Name of the Wind (The Kingkiller Chronicle, #1)",eng,4.55,400101,5605,8582,28480,95470,311235
193,Malcolm Gladwell,2008,Outliers: The Story of Success,en-US,4.11,353011,4494,12545,62510,148978,140599
194,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby-Dick or, The Whale",eng,3.46,358050,35983,52601,103625,102432,103322
195,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,eng,4.12,393626,7190,17250,68942,155107,175183
196,Chuck Palahniuk,1996,Fight Club,eng,4.2,365349,4578,12632,58110,139554,173780
197,Charlaine Harris,2001,"Dead Until Dark (Sookie Stackhouse, #1)",en-US,3.96,420764,11330,25781,96290,148326,163097
198,Alice Walker,1982,The Color Purple,eng,4.17,376766,6298,14477,62380,140835,176975
199,John Grogan,2005,Marley and Me: Life and Love With the World's Worst Dog,eng,4.12,367304,5485,14940,68532,131536,158855
200,Agatha Christie,1939,And Then There Were None,eng,4.23,408983,6134,12476,66243,156306,215521
201,Dan Brown,2009,"The Lost Symbol (Robert Langdon, #3)",eng,3.66,369428,11293,40545,120122,136545,96477
202,Becca Fitzpatrick,2009,"Hush, Hush (Hush, Hush, #1)",en-US,4.0,448166,19338,33543,82544,120204,206173
203,Jamie McGuire,2011,"Beautiful Disaster (Beautiful, #1)",eng,4.15,418309,17185,23298,61993,115123,225097
204,Charles Dickens,1843,A Christmas Carol,unknown,4.02,394540,6737,21415,93906,153823,165515
205,Anne Rice,1976,"Interview with the Vampire (The Vampire Chronicles, #1)",eng,3.97,372566,7519,22377,84804,137659,141582
206,Kiera Cass,2012,"The Selection (The Selection, #1)",en-US,4.15,505340,13841,25349,83692,158716,257493
207,Janet Evanovich,1994,"One for the Money (Stephanie Plum, #1)",en-US,4.03,391007,9176,19657,80319,133454,160709
208,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,eng,4.04,377249,10782,18237,70339,151226,153856
209,Thomas Harris,1988,"The Silence of the Lambs  (Hannibal Lecter, #2)",eng,4.14,351107,10268,12845,55427,123652,163920
210,Richelle Mead,2007,"Vampire Academy (Vampire Academy, #1)",en-US,4.14,248283,12535,22043,73357,129382,217834
211,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,en-US,3.89,348196,6804,20128,85934,139947,107525
212,Ian McEwan,2001,Atonement,eng,3.88,347006,11473,25462,77135,134788,116800
213,"Franz Kafka, Stanley Corngold",1915,The Metamorphosis,eng,3.78,364933,15430,33226,98774,146297,120806
214,Rick Riordan,2007,"The Titan's Curse (Percy Jackson and the Olympians, #3)",eng,4.33,446668,1863,7934,65220,162371,248874
215,Ernest Cline,2011,Ready Player One,eng,4.31,349423,5150,12928,48285,134107,221349
216,Garth Stein,2006,The Art of Racing in the Rain,eng,4.19,327409,4808,13901,53780,118166,163664
217,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",eng,3.98,309385,6687,18709,69012,135360,120839
218,Sylvia Day,2012,"Bared to You (Crossfire, #1)",eng,4.19,222678,9867,18983,55554,104657,197075
219,"C.S. Lewis, Pauline Baynes",1956,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",eng,4.24,376385,3772,12192,59975,133056,192681
221,Dave Pelzer,1995,"\"A Child Called \"\"It\"\" (Dave Pelzer #1)\"",eng,4.08,311543,7819,16453,57341,98786,140899
222,Robert Ludlum,1980,"The Bourne Identity (Jason Bourne, #1)",eng,3.98,327122,10266,17695,65161,118463,124627
223,Eoin Colfer,2001,"Artemis Fowl (Artemis Fowl, #1)",eng,3.82,386923,14473,30894,94950,129607,129241
224,Lauren Kate,2009,"Fallen (Fallen, #1)",en-US,3.74,395296,23594,41578,94145,107149,141642
225,John Steinbeck,1952,East of Eden,eng,4.35,320919,4183,9409,39153,96741,187196
226,Gillian Flynn,2009,Dark Places,eng,3.92,333452,5169,17975,89242,165108,109113
227,John Grisham,1993,The Client,eng,3.97,320083,2530,12566,79176,129019,102372
228,"Emma McLaughlin, Nicola Kraus",2002,"The Nanny Diaries (Nanny, #1)",eng,3.4,323762,17006,43014,116021,95951,56081
229,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland & Through the Looking-Glass,eng,4.06,340920,5294,17482,76985,127906,149523
230,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,eng,4.13,365425,6688,15653,71218,133222,175578
231,Tatiana de Rosnay,2007,Sarah's Key,eng,4.14,312444,3865,12684,55760,134748,140574
232,Stephen King,1982,"The Gunslinger (The Dark Tower, #1)",en-US,3.99,332494,9958,24111,72736,112895,146677
233,"Gabriel García Márquez, Edith Grossman",1985,Love in the Time of Cholera,eng,3.89,283806,11450,23825,65668,110544,111974
234,Laurie Halse Anderson,1999,Speak,eng,4.0,360156,7770,21049,76503,125660,141422
235,Liane Moriarty,2013,The Husband's Secret,eng,3.92,232106,4175,15649,80869,155945,95167
236,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mount Everest Disaster,en-US,4.11,291258,8041,10286,46060,112601,124605
237,Stephen King,1974,Carrie,unknown,3.93,356814,4564,19479,96352,136054,121201
238,Augusten Burroughs,2002,Running with Scissors,en-US,3.7,293878,13569,27249,78405,105786,81379
239,Max Brooks,2006,World War Z: An Oral History of the Zombie War,en-US,4.01,312969,7680,19887,65570,121537,130475
240,Dan Brown,2013,"Inferno (Robert Langdon, #4)",eng,3.8,287533,7261,26077,89237,128374,94611
241,Lois Lowry,1989,Number the Stars,eng,4.11,333638,3797,12794,63919,123296,138559
